timestamp,memory_growth_rate,restart_flag,memory_pressure,cpu_container_vs_node_ratio,failure_streak
2026-03-27 06:06:00,-22594.525170067947,0,0.13462067878264963,-0.08440974779030538,0
2026-03-27 06:11:00,-8968.010884353767,1,0.13201869258840698,-0.08452134021851787,0
2026-03-27 06:16:00,46881.378684807074,0,0.13792663388816565,0.03593804692754665,0
2026-03-27 06:21:00,14883.55555555572,0,0.13838454308357656,0.03605898820637949,0
2026-03-27 06:26:00,1235.9111111109455,0,0.13481990038269967,0.036059091014815914,0
2026-03-27 06:31:00,7409.777777777612,0,0.13748747861434518,0.03558519169956427,0
2026-03-27 06:36:00,-27636.62222222214,0,0.13354148855324405,0.15565510771036997,0
2026-03-27 06:41:00,18331.02222222214,0,0.13623992572012444,0.15562022653106838,0
2026-03-27 06:46:00,-9294.222222222388,0,0.13782350948509484,0.03509566212149974,0
2026-03-27 06:51:00,-4808.533333333334,0,0.135019474901768,0.034962045420271676,0
2026-03-27 06:56:00,13943.466666666667,0,0.13176622397933874,0.03553789765486646,0
2026-03-27 07:01:00,3938.133333333333,0,0.1366252214444028,0.035934806578408966,0
2026-03-27 07:06:00,-146.48888888880612,0,0.13199173407530645,0.03593570663158861,0
2026-03-27 07:11:00,3451.733333333333,0,0.1310458764125537,0.03587993915198422,0
2026-03-27 07:16:00,13447.111111110946,0,0.13391049299194116,0.03584466208165769,0
2026-03-27 07:21:00,-3904.0,0,0.1326835356929553,0.03581712665846628,0
2026-03-27 07:26:00,11298.829931972921,0,0.13233301079643042,-0.08717118091806705,0
2026-03-27 07:31:00,-1160.5333333333333,0,0.13147947617075928,-0.0878020748657048,0
2026-03-27 07:36:00,15384.17777777786,0,0.1340362827393239,0.03470800720553268,0
2026-03-27 07:41:00,-25056.711111110944,0,0.13211885348588567,0.03468991011906408,0
2026-03-27 07:46:00,-7261.866666666667,0,0.13552403132680982,0.03468041608511992,0
2026-03-27 07:51:00,13835.377777777612,0,0.13382078292885946,0.03467257484292841,0
2026-03-27 07:56:00,-18002.488888888805,0,0.13431180106001475,0.1569963084670872,0
2026-03-27 08:01:00,19638.044444444527,0,0.13488090103043374,0.15720326637314633,0
2026-03-27 08:06:00,-12793.295238095274,0,0.13203975854578265,-0.08855001104572102,0
2026-03-27 08:11:00,-10277.616326530526,1,0.13224719348923178,-0.08857749404201803,0
2026-03-27 08:16:00,26257.821315192927,0,0.1331886036356406,0.03489739298511372,0
2026-03-27 08:21:00,-837.6888888890545,0,0.13460446504597073,0.034929541244205047,0
2026-03-27 08:26:00,-5811.2,0,0.13510712152591936,0.03509895195260349,0
2026-03-27 08:31:00,3419.0222222221396,0,0.13718970989395404,0.03508157214091701,0
2026-03-27 08:36:00,13596.44444444428,0,0.13541314213400774,0.15833928882605142,0
2026-03-27 08:41:00,9823.288888888806,0,0.13113787854044304,0.15848895806719374,0
2026-03-27 08:46:00,1900.0888888890545,0,0.13213635169785368,0.03498333673588428,0
2026-03-27 08:51:00,9280.0,0,0.1313441443727154,0.03497751592641532,0
2026-03-27 08:56:00,-11635.2,0,0.13391135078522046,0.03492618709381598,0
2026-03-27 09:01:00,28012.088888888808,0,0.142565558808646,0.03524845114578612,0
2026-03-27 09:06:00,-16019.911111111194,0,0.13268210045399137,0.03516281033016199,0
2026-03-27 09:11:00,7886.22222222214,0,0.13057777853591782,0.035031292292580514,0
2026-03-27 09:16:00,5226.666666666667,0,0.13154455301526458,0.03502560018564071,0
2026-03-27 09:21:00,-3034.3836734692254,0,0.1323836406393297,-0.0900740473895726,0
2026-03-27 09:26:00,14356.897959183652,0,0.13016056279738616,-0.09033056489140934,0
2026-03-27 09:31:00,-11611.02222222214,0,0.1324518464887429,0.034533469612992244,0
2026-03-27 09:36:00,-9265.777777777861,0,0.1322907603633088,0.03450848054527587,0
2026-03-27 09:41:00,-15916.088888889055,0,0.13391764429257275,0.03446826189663875,0
2026-03-27 09:46:00,-2572.8,0,0.13541110717918373,0.03469637782475558,0
2026-03-27 09:51:00,79.64444444452722,0,0.1335401443014759,0.15988283453642121,0
2026-03-27 09:56:00,359.82222222213943,0,0.13448689529336508,0.16014523677335765,0
2026-03-27 10:01:00,-14219.377777777612,0,0.13241402146783654,0.03505048220725081,0
2026-03-27 10:06:00,4357.688888888806,0,0.13378275840264883,0.03511893774440118,0
2026-03-27 10:11:00,-8617.244444444526,0,0.13348522881235583,0.035379868530014076,0
2026-03-27 10:16:00,-1355.3777777778605,0,0.13771567077514613,0.03534144087752282,0
2026-03-27 10:21:00,8809.244444444526,0,0.1339701603257119,0.03542925841792547,0
2026-03-27 10:26:00,-15092.622222222139,0,0.13407846302531848,0.03542420964306854,0
2026-03-27 10:31:00,-1073.7777777778606,0,0.13239428683913226,0.035312417279762004,0
2026-03-27 10:36:00,-3571.2,0,0.13325122483864144,0.03536762381659979,0
2026-03-27 10:41:00,-16635.733333333334,0,0.13344326026159417,0.03526938169068061,0
2026-03-27 10:46:00,10606.410884353767,0,0.13422873660544835,-0.09171770726781471,0
2026-03-27 10:51:00,6213.659863945593,0,0.13210104358152003,-0.09187286387958019,0
2026-03-27 10:56:00,6205.155555555722,0,0.1364276857175065,0.03536152998254831,0
2026-03-27 11:01:00,4012.0888888890545,0,0.14955624272529058,0.03583897080469017,0
2026-03-27 11:06:00,-10478.933333333332,0,0.13237354146597277,0.03589827167048558,0
2026-03-27 11:11:00,52.622222222139435,0,0.13378509598583843,0.03581558098378545,0
2026-03-27 11:16:00,699.7333333333333,0,0.13345539153984057,0.16347482636802854,0
2026-03-27 11:21:00,9442.133333333333,0,0.1357701794985388,0.1635727415641916,0
2026-03-27 11:26:00,-13976.555102040867,0,0.13262214066421638,-0.0916287694273068,0
2026-03-27 11:31:00,944.5877551021675,0,0.1329524052469683,-0.09226090031260147,0
2026-03-27 11:36:00,1924.2666666666667,0,0.13315582449382432,0.03583209804080629,0
